race_date,racecourse,race_no,race_name,horse_no,horse_name,stage1_similar_condition,stage1_similar_condition_reason,stage1_race_content,stage1_race_content_reason,stage1_recent_trend,stage1_recent_trend_reason,stage1_win_stability,stage1_win_stability_reason,stage1_age_decline,stage1_age_decline_reason,stage1_total,stage2_course_distance_ground,stage2_course_distance_ground_reason,stage2_pace_position,stage2_pace_position_reason,stage2_weight,stage2_weight_reason,stage2_draw,stage2_draw_reason,stage2_jockey,stage2_jockey_reason,stage2_bloodline,stage2_bloodline_reason,stage2_total,stage3_body_weight,stage3_body_weight_reason,stage3_paddock,stage3_paddock_reason,stage3_training,stage3_training_reason,stage3_track_adjustment,stage3_track_adjustment_reason,stage3_total,final_total,ability_rank,win_candidate,second_candidate,third_candidate,odds,popularity_reason,unpopularity_reason,value_rank,mark,buy_or_pass,missing_info,result_finish,review_notes
2026-07-12,福島,11,七夕賞,1,ボーンディスウェイ,6.0,東京芝2000mのL3着0.4秒差は評価。ただし左回り長直線の後方差しで福島右回り小回りへの直接性は限定。,6.0,GⅡ0.2秒差・0.6秒差を評価。GⅢ1.1秒差とOP0.9秒差は減点。平均着差0.64秒。,0.0,着差は0.4→0.2→1.1→0.9→0.6。長距離化後に直近2走は改善したが2000m好走時には未回復。,2.0,5走で勝利なし。GⅡ善戦はあるが馬券圏内はL3着のみ。,0,年齢は独立評価に使用しない。能力低下は近走推移へ集約。,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,過去5走外の福島・2000m実績、レース中の不利、詳細ラップは未取得,,
2026-07-12,福島,11,七夕賞,2,コントラポスト,6.5,2000m実績はないが右回り函館1800m2着0.1秒差と中山1800mL5着0.4秒差。距離延長の未証明分を減点。,6.5,GⅢ3着0.1秒差・GⅢ5着0.6秒差・巴賞2着0.1秒差。5走すべて0.6秒以内。,1.0,着差は0.6→0.1→0.1→0.4→0.4。ピークから小幅後退したが高水準を維持。,3.5,5走すべて5着以内かつ0.6秒以内。勝利がないため満点ではない。,0,年齢は独立評価に使用しない。能力低下は近走推移へ集約。,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,過去5走外の福島・2000m実績、レース中の不利、詳細ラップは未取得,,
2026-07-12,福島,11,七夕賞,3,ショウナンマグマ,4.0,5走すべて1800m。中山L4着0.3秒差は近いが他の右回り1800mで大敗が多く2000m適性も未証明。,3.0,L4着0.3秒差は評価するがGⅢ1.4秒差・GⅡ0.9秒差・直近Lで2.5秒差と1.6秒差。,-4.0,着差は1.4→0.3→0.9→2.5→1.6。直近L2戦で先行しても大敗し明確な下降傾向。,1.0,5走で勝利・連対・3着なし。4戦が二桁着順で再現性が低い。,0,年齢は独立評価に使用しない。能力低下は近走推移へ集約。,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,過去5走外の福島・2000m実績、レース中の不利、詳細ラップは未取得,,
2026-07-12,福島,11,七夕賞,4,カラマティアノス,10.5,中山芝2000mGⅢ勝利と中山芝1800mGⅡ2着0.3秒差。右回りコーナー4回の重賞実績が今回へ直結。福島未経験のみ減点。,7.0,芝中距離の直近3戦はGⅢ勝利・GⅡ2着0.3秒差・GⅢ6着0.3秒差。4頭中最上位。,4.0,芝中距離へ戻してから勝利→GⅡ0.3秒差→GⅢ0.3秒差。上昇後に高位安定。,3.5,芝2000m重賞を勝ち切り直近芝中距離3戦すべて0.3秒以内。条件外での大敗分だけ減点。,0,年齢は独立評価に使用しない。能力低下は近走推移へ集約。,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,過去5走外の福島・2000m実績、レース中の不利、詳細ラップは未取得,,
2026-07-12,福島,11,七夕賞,5,オーロラエックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,6,マイネルモーント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,7,メリオーレム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,8,クリスマスパレード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,9,オニャンコポン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,10,センツブラッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,11,アスクナイスショー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,12,リカンカブール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,13,バトルボーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,14,オールナット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,15,ヤマニンブークリエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,福島,11,七夕賞,16,サヴォーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
