race_date,racecourse,race_no,race_name,horse_no,horse_name,stage1_similar_condition,stage1_similar_condition_reason,stage1_race_content,stage1_race_content_reason,stage1_recent_trend,stage1_recent_trend_reason,stage1_win_stability,stage1_win_stability_reason,stage1_age_decline,stage1_age_decline_reason,stage1_total,stage2_course_distance_ground,stage2_course_distance_ground_reason,stage2_pace_position,stage2_pace_position_reason,stage2_weight,stage2_weight_reason,stage2_draw,stage2_draw_reason,stage2_jockey,stage2_jockey_reason,stage2_bloodline,stage2_bloodline_reason,stage2_total,stage3_body_weight,stage3_body_weight_reason,stage3_paddock,stage3_paddock_reason,stage3_training,stage3_training_reason,stage3_track_adjustment,stage3_track_adjustment_reason,stage3_total,final_total,ability_rank,win_candidate,second_candidate,third_candidate,odds,popularity_reason,unpopularity_reason,value_rank,mark,buy_or_pass,missing_info,result_finish,review_notes
2026-07-12,,,七夕賞,1,ボーンディスウェイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,2,コントラポスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,3,ショウナンマグマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,4,カラマティアノス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,5,オーロラエックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,6,マイネルモーント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,7,メリオーレム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,8,クリスマスパレード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,9,オニャンコポン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,10,センツブラッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,11,アスクナイスショー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,12,リカンカブール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,13,バトルボーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,14,オールナット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,15,ヤマニンブークリエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,,,七夕賞,16,サヴォーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
